content,score,thumbsUpCount,topic
"Incredibly useful App. Hats off to Devs 👏 I only want 2 features which would make this one of my most important apps 1) Ability to reply to a specific message in a chat, like in WhatsApp (useful to search that up quickly) 2) Ability to share documents (like PDFs, txts, ppts etc.). Please implement this feature 🙏 I have a lot of documents I use daily and I'd like to store in one chat.",5,0,"File and Document Support: Requests for the ability to attach and save various document types (e.g., PDFs, Word files)."
This is the best chat like GUI note taking app. Take notes with automatic timestamp which makes all notes in a time line and well organzed. I wish the search feature can support searching by time range and additional search option to search in specific note group. Global search and specific note group search can narrow down my search quickly.,5,0,Search and Organization Tools
How to edit a note? Thanks for a quick reply. By long pressing on a note marks it edit option is seen. But this cannot offer to edit inside the note. It can only be deleted. Or something goes wrong and the app stops.,4,0,Editing Features
If you implement the ability to re-order messages I will forever be indebted to you.,4,0,Request for Enhancements
I really love the idea and the concept of this app. I usually use google keep for notes but it doesn't fit with the messy type of notes which is why I like this notes app because I can be messy with it and just type down random words or phrases that I need to remember in the future unlike the google keep app but ill still use it for more formal notes and this app for ideas that just pop up in your head. All I can suggest is to add a widget that that allows you to instantly type down a note.,5,0,Positive User Experience
"Great app, but I wish it had a Wear OS equivalent. Most of the time I check my notes through my watch - it's faster. I think that my experience with the app could be enhanced even more with the addition of a Wear OS companion app.",4,0,Request for Enhancements
"Excellent. Attaching audio as you would in a messenger app, and photo to the heading is a cool feature. It is a bit too minimalist for me tho, and I would like to see note linking like in Logseq as a feature before paying for an app like this.",5,0,Request for Enhancements
"I love this app. It's easy to use, has a simple but convenient design. Despite its simplicity, it has every function that a note app needs. Since downloading it, I have used it almost every day and am really happy with it.",5,0,Positive User Experience
"This app is good, and could become great! Still needs a few house keeping features.",4,0,Request for Enhancements
"Really good for note taking, I like that it is very simple and clean. A suggestion would be to maybe add an option to automatically backup notes periodically, because I lost a few recent notes as I had to reinstall the app.",4,0,Backup and Recovery Improvements
"Almost perfect app. Just couple things to work on really. 1) Add to do list type tick qnd untick toggle to mark as the task is done or not. 2) Add Amoled black dark mode, as current one is bluish dark mode instead of full amoled dark mode. 3) Search on main page works only inside content of a conversation/ note and not the title of the note/ conversation itself. I personally think it should search text of both content and title of note itself.",4,0,Search and Organization Tools
I agree the text box ideas or winner I really like this app it's really really good thank you for this app I like the picture bubble too that that's in the category you can put in I like how quickly you can separate different ideas with the text bubble can't see you another apps thank you for the app,5,0,Positive User Experience
"phenomenal app, i really love all of tanuj's work and I wish to one day truly express my gratitude to him. These apps have helped me in countless ways, but note to self has left a profound impact on my thought collection and making rational decisions. I appreciate you so much tanuj, you have changed my life ❤️",5,0,Therapeutic Note-Taking
"I have autism and ADHD, it's really hard for me to keep my thoughts in order. It is important for my everyday life and structure inside my head. I tried so many apps and paper dairy, but they confused me as well: too many options. Can't stand the adds - they immediately stops any my progress with concentration. But at the same time I need personalisation. And making ""channels"" with profile pics is exactly what I needed. Your app is SUPER helpful, even for my messy brain upd: trackers : (",3,0,Therapeutic Note-Taking
"I use the Notes option to keep my journal. This option suits me perfectly because I have a free page on which I can write as often and as frequently as I wish to. I will rate this app again when I've used it for a longer period. By the way, thank you for not pushing me to rate this app.",3,0,Therapeutic Note-Taking
This is really great note taking app for phone that follows my behaviour. I am frequently chat to myself on Telegram when found something anywhere immediately. Will be more powerful if the app include markdown friendly editing feature. Thanks!!! Edit: I think it should be better when popup confirmation appears on deleting notes.,4,0,Editing Features
"One thing that makes this app greater than other apps that one can begin writing note straight away, no need to scroll down and put cursor indent at the end to position it, no matter how big the note is, you can start writing in one tap.",5,0,Ease of Use
I like the chat style. Really easy to use and look for the info. 1 thing the app perhaps can add in is the option to make text + images exists in the same response bubble instead of having them separated,5,0,Unique Note Organization
"Great and simple note taking app. Expressing my gratitude for creating and giving us this awesome app. I have one simple suggestion : it was better if you could add an option to increase / decrease the font size of the notes. For high resolution screens, the notes seems a bit hard to read. Thank you. ❤️",5,0,Request for Enhancements
"I need to minimize my writing, so it's not too difficult to find 1 article from dozens of posts, it's more eye catching because I don't need to scroll too much (due to many paragraphs). The encryption feature will also make security even more perfect",5,0,Search and Organization Tools
This app is excellent. Exactly what I was looking for! It would be even cooler if we could create templates for messages that we can just pick and insert quickly. Anyway. Great job!,5,0,Request for Enhancements
"It's my favorite note taking app right now, but it needs some things to become the best: Easy catagorization/color coding notes, diffect fonts and text effects (bold, italic, underlined, etc.) Strikethrough or 'to-do' list feature. That's all I can think of. Great app!",4,0,Search and Organization Tools
"Good app, scope for making it great! Are you planning on adding an option for backup to the cloud/drive and auto sync when installed on another device? Until then I would not use it as a reliable notes app",4,0,Backup and Recovery Improvements
"This app is a life hack for my adhd. Wish I found it years ago. Only thing I'd change about it is add an option to highlight text, and an option to send scheduled messages to my own phone.",5,0,Therapeutic Note-Taking
This is so cool! Love the concept! It would be awesome if you can add chat descriptions and reminders. Reactions or a way to mark messages could also be awesome! Thanks for a well thought out and nicely designed app!,5,0,Request for Enhancements
"Add google synchronization pls edit: Thank you for reply heres 4 🌟 Also can you add swipe to edit and delete notes. If you can add more pls add reply, archive, star notes ext all features like included on whatsapp and telegram. I can stop using this app! Its super useful.",4,0,Request for Enhancements
"I love this app!! I use it every single day. I would love for the photos within each chat to be scrollable or made as a carousel so it doesn't require to open each pic individually. Also, videos aren't getting transferred from gallery. Please can you look into these.",4,0,Request for Enhancements
"This is a great a idea 💡! Like a text message to myself. Journal, Shopping List... possibilities are endless. *edit* I must have been thinking of your minimal AF launcher if that's not even you then that's two strikes I downloaded them both at the same time I think now I'm confused thank you though!",5,0,Positive User Experience
"Great, features that would improve it: a way to make bold letters and group chats, that's it. I would still love a discord/WhatsApp style quote but I can wait for years as long as it eventually comes before a better alternative.",5,0,Request for Enhancements
"App is beautiful thank you. There's one bit if feedback if I could trouble you. Can you please make notepads able to be arranged by date/name etc? Can drag notes around? Thank you very much, I didn't know about that feature, sorry.",5,0,Search and Organization Tools
"Edit : Tanuj, can you please add functionality to add emoticons to each note like how can react to messages in Whatsapp and such so that notes can be marked complete etc. Thank you Love the app. Thank you Tanuj. Been using your Olauncher as well, equally love it. Looking forward to more.",5,0,Request for Enhancements
"App is wonderful and really easy to use, it has the search bar too for easy search. Amazing work.",5,0,User-Friendly Design
"Great concept. One feedback I can think of is show image and text preview for links, like the ones we have with standard chat apps. So for example if I share YouTube link, it should show a preview of the same with video title and thumbnail like we have in WhatsApp, etc. This would help to identify which link is for which video.",5,0,Request for Enhancements
The app is almost perfect. Just one suggestion: please add an option to hide individual notes.,4,0,Request for Enhancements
"2 things are must needs for this app 1. Connecting to my mail account. 2. Password feature for more privacy Kindly make these two happen by the end of the year even. New update - Like the password feature, thanks for listening and there's backup and restore yes, but still connecting to Gmail would be far more easier. but rest of the UI updates alone seem needless, 80% of the app feels different and hard to use now, new features are great though.",5,0,Request for Enhancements
Really nice and useful.,5,0,Positive User Experience
"Excellent app. Simple. Has search. A+. Please bring to iOS. I would pay for this app. Nothing quite like it, and I daily an iPhone now.",5,0,Positive User Experience
Hey I really love this app but i can't open it since it keeps on crashing 😭. I would be really sad if i can't recover some of my notes here 🙇‍♀️,3,0,App Crashes
"Great app, but where are the backups stored by default? I can't seem to find my backups (the .zip folders) Edit : Tq I figured it out",5,0,Backup and Recovery Improvements
"Can't be able to open app. It keeps crashing whenever try to open, everything is lost..",1,0,App Crashes
"Great interface. Loved it. Would be better if you can add folders, tags or labels.",5,0,Search and Organization Tools
"The app looks amazing, focuses on privacy and is very unique! I was looking to something like this :)",5,0,Initial Impressions
"I first tried ""O launcher"" and then ""Note to self"" and to be honest I love both of them both got a 5 star from me. Keep up the good work 😊👍",5,0,Positive User Experience
"I really like the app, I can keep many notes in one place but separately, it also has password and options to save images, voice notes etc. and the price of the app is very reasonable. I loved it. 💗💗💗✨I need to share these notes someone how can I do it ???",5,0,Unique Note Organization
Since latest update it won't open. I lost all my notes and there's not so much as an error code. Just crashes when I try to open it,1,0,App Crashes
"Notes Lock is not working after switching toggle button on, Please have a look on it. Overall great chat UI",3,0,Requests for Enhancements
"Brilliant ux, runs smoothly even on my 4 year old phone. Only unfortunate con I guess is no cross platform sync.",5,0,User-Friendly Design
I guess it's the best app one could ever think of.And also the most innovative thinking yet thanks to the developer Just hope that he continues to develop the app further and also keeps on updating the app.,5,0,Developer Appreciation
"Awesome app! I don't know why the custom chat icon was removed. If possible, I would appreciate that feature being added back as it is one of the main reasons I bought the premium version. Still an app I use frequently though, so thank you for continuing to update & fix bugs! :)",4,0,Request for Enhancements
"This is just a masterpiece. I really love this app! It's been my haven for several months. I really really recommend this if y'all want to vent, rant, or just simply write notes as it's so simple to use. Also, sometimes I want to chat with someone but doesn't have anyone to talk to and this app helps me with that. I ain't gatekeeping it anymore. This app deserves more! T^T",5,0,Therapeutic Note-Taking
App doesn't open anymore. It worked a few days ago. There seems to be a bug. Please fix it when you get a chance..,4,0,App Crashes
Simple and effective. I would recommend adding the option to customise notebook colours and font size.,4,0,Request for Enhancements
"Ohh my god, this is literally the best Notes app I could ever have. It also seems like my idea got stolen because I am creating an exact app for myself, but here's to the best one out there.",5,0,Positive User Experience
Backups are saved in plain text. Any claims about securely storing notes goes right out the window.,1,0,Backup and Recovery Improvements
i can't import my old notes from the old phone,1,0,Backup and Recovery Improvements
I'm new to the app but so far it's great and seems to be trust worthy,5,0,Initial Impressions
Super simple and easy to use for daily note-taking and to-dos. Had an easy time moving over my old notes to a new phone. Great app all around! I complained about something I couldn't figure out and the developer responded right away to tell me how to do it. (Solved complaint: I can't figure out how to delete old notes and groups. All I can do is delete the content of the note.),5,0,Developer Appreciation
Please add recycle bin it will be another great feature for apps like this notes apps. Edit : thanks for responding and I'll wait for it to happen,3,0,Request for Enhancements
I think it'll be great if there's a pin message feature on the app. I want to use it for a template and whatnots.,5,0,Request for Enhancements
I don't think you've made an app I don't like. I switched from niagra launcher to olauncher and now to pro launcher and this notes app doesn't disappoint either! It feels like a messaging app only you're just messaging notes to yourself. Super minimalistic and simple but it's outside the box and makes jotting down notes as simple as writing as text message and it makes keeping them organized as simple as scrolling through chat threads. Absolutely love it ❤️,5,0,Positive User Experience
It's been exceptionally fun and feels like I'm just slapping thoughts in the moment. The message kind of approach taken is indeed genius ☺️.,5,0,Therapeutic Note-Taking
Why does the clock interfere with speech when writing in Arabic?,4,0,Other
It was a nice app But now why do i need to keep the mobile data on for the app to work,1,0,Other
"Love the concept ❤️❤️, but I think you should add something like a scroll slider for the notes that scrolls by date like google photos and also a way to collapse the notes",5,0,Request for Enhancements
Charges for use but not until its downloaded,1,0,Trial Usage
"Please add 2 option writing in Arabic from right to left fix this in app and, add option to record video like WhatsApp and telegram",5,0,Request for Enhancements
"Nice app, but inserting pictures, videos and audios fails. Can you fix it please?",3,0,File and Document Support
"The new update has been great, thank you so much for removing the paywall. Edit: I've been getting a bug where it shows the same date for note entries made on different dates. For example, it shows that I made a note on January 26th, but I actually made that note on the 27th.",5,0,Request for Enhancements
Very good app 💯 But I have a request: please add the ability to respond my notes like in whatsapp. And please make double clicking on photos zoom it.,5,0,Request for Enhancements
"Very useful note taking app. After using a bunch of note taking apps, I found this app and using since 1 year. But I found no option to move notes from one folder to another. This is a must needed feature to organize notes seamlessly. Please add this feature. Thanks ❤️",5,0,Search and Organization Tools
"Very good idea, I would also like to have an option to schedule a text message so that it can be used like a reminder.",4,0,Reminders and Notifications
Absolutely great app! Few suggestions: >Allow inserting Gif from keyboard search. >Allow writing messages on media files.,4,0,Request for Enhancements
"I like the app and idea behind it. It would be great if there was an option to archive the notes so they are not on the list but not gone either. Other than that web access would be a feature Im looking for. Keep the great work 😊 Not a big fan of the update, how do you even delate notes now?",4,0,Request for Enhancements
Used for just 5 min and am amazed.,5,0,Initial Impressions
Simple chat style journaling app,5,0,Unique Note Organization
"Sir, you have an amazing app Just some points . When you add an image you cant zoom into your image notes. .When in trash you cant select all to delete faster",3,0,Request for Enhancements
God damn this app is so smooth like the animations and i also like the text that u put in those 4 its really like ur interscting with the user. This develepers is amazing (Also im ninecents_09),5,0,Positive User Experience
"Love it. I really liked the concept. There is just one thing though. It would be better if I could search notes by dates. eg. 25th august, 2023.",5,0,Search and Organization Tools
"It just gets the notes writing done, super minimalistic yet super functional, I bought the PRO version not for the features it offered, but for the developers who have not locked down features behind a paywall. No ads on free version too is a boon.",5,0,Developer Appreciation
"edited to 5 stars for the bug fix* Thanks dev for listening us. dang, this app just so great! Im being honest, fr. A quick and easy to make note just like chatting with your friends. ☺️ Try this app guys!!",5,0,Positive User Experience
A very convenient way to take notes.. Is there any widget for this? Just clicking on that would open the chat notes directly and I can start taking notes?,4,0,Ease of Use
Nice wonderfully crafted app. Bought pro version. Please provide option to attach documents Please provide strike through option for texts without going to edit option. Schedule local backup,5,0,Request for Enhancements
"It's convenient and not complicated to use... 1)pls add video attachment feature ,as a medical student I use this app to gather my thoughts and cases that I get, some online resources and self made videos 2) in a systematic grouped form will be awesome feature 3)if the feature can be updated and flashcards features can be made available or linked to anki ,it will be a very great help indeed 4)Became a pro user today,pls provide account and privacy settings or link to Google accounts.Thank you😇",4,0,Request for Enhancements
"An intuitive and easy to use app. I like the idea behind it. However, I noticed a bug: if a message contains a hyperlink or string of numbers that Android detects as a phone number, I cannot select/edit/delete that message.",4,0,Editing Features
"First time using this app and I'm already in love! Thank you so much for this app, this will surely help me remember unforgettable moments and also with writing reflections.",5,0,Initial Impressions
"I like this app, really interesting concept. Would like support for gifs and maybe the ability to customize it more and have themes.",5,0,Request for Enhancements
"Giving three stars after update. The oldest notes appear at the top, no option to for sort by from the latest one.",3,0,Search and Organization Tools
"Incredibly smooth and handy Tanuj. Please never clutter it with fancy features, It's already perfect!",5,0,Positive User Experience
"I used to love this app but the new update is a good cause for deletion. The app was simple and easy to access your latest note and add to it all day, but now it's put at the bottom of the list like a dirty secret.",1,0,User-Friendly Design
Very very nice! Would be better if it syncs automatically and an option to send as person 2,5,0,Request for Enhancements
"I like it, because of the chat interface its quick easy and familiar to add notes, and all notes are timestamped, per entry",5,0,Unique Note Organization
I absolutely love that this is a note app that doesn't share my data and doesn't collect any data either. Absolutely amazing.,5,0,Positive User Experience
Great app with easy interface. I love this app. Hope It's maintain security for store the notes.,5,0,User-Friendly Design
"This is so user friendly, intuitive, clean, and responsive It's perfect for my autistic ADHD self who constantly needs to write things down but then my autistic part struggles like hell with difficult interfaces",5,0,Therapeutic Note-Taking
It was really great experience. Can i export the notes!?!? Couldn't find such option.,4,0,File and Document Support
"Thanks for your response on how to delete a group, any idea why the latest update would have deleted some of my notes? It seemed to only be in one group that had lots of notes in it. Can't figure out another way to contact!",3,0,Data Loss Anxiety
"The app. needs to have important settings as font ( size,colour ) and others And it needs to have a recycle bin but the idea of the app. is amazing",4,0,Request for Enhancements
"Great app! SUGGESTION:if the developers could add themes functionality or amoled dark mode, it could add another nice personalization touch to it. Thanks!",3,0,Request for Enhancements
Putting basic note taking features like adding picture & voice notes behind paywall while they already were freely available is absurd. I understand that the dev needs to make money. Then add some more compelling features which will attracts more people & subscribers.,2,0,Request for Enhancements
"I really love your app. I just want to suggests, if you can add it, please add 'pinned message' to easily backread the message [or, notes]. Thanks.",5,0,Request for Enhancements
I loved this app a lot and stored some of my important things here. Now the face lock or fingerprint is not working and the app automatically closes. Can u please help with this. Or any update will be released?,4,0,App Crashes
Hay you Mr developper has anyone told you that your apps working well for blind people like myself too? Just one request. Please add Lables in the button code? my screen reader keeps say button unlabled and that my dear friend is that you forgot to add the component lables. Lol. Besides that This is a brilliant app. Well done.,4,0,User-Friendly Design
Gave five stars because I love your other launcher app pro launcher and love this concept. Unfortunately I can no longer open the app there is some bug. Did not want to give you a low rating.,5,0,App Crashes
Updated review: Great offline features! Developer took action on my request and made this app perfect. 5 star for response and fix. Thank you! Old review: Seemed to work fine. Until mobile data is disconnected then unable to access notes locked behind an offline notice.,5,0,Developer Appreciation
The most recent update was horrible..made the app crash and it couldn't restore my most recent backup after re-installation..lost all my notes,1,0,Backup and Recovery Improvements
Awesome app that allows me to detail & make lists or tasks or notes in any fashion in my own unique & my own organizational way. What I like most is that I can keep everything I write or list in one area making it easy for me to access all at once !!,5,0,Unique Note Organization
This is a cool and unique notes app but it needs better fonts for the notes. But I'm hesitant to use this to store anything important because I've used tons of notes app that were abandoned after a year or two and I'm not sure if this will be supported for long.,4,0,Data Loss Anxiety
Does what it describes and is simple and easy to use. The only problem I see with it is that I can't delete website links or YouTube links that I share with myself. The only way right now to get rid of it is to delete the whole note group that it is listed under.,4,1,Editing Features
Another work of art! I'm officially a fan of your work.,5,1,Developer Appreciation
"Amazing app, paid for premium and the dev is constantly adding more QoL features. However, I would love to know if this app would come to PC in the future with maybe a sync feature(?). That'd be cool.",5,1,Request for Enhancements
Must have app. Great application.,5,1,Positive User Experience
"Thank you for fixing the last version. The last update was a bit frustrating. So far this seems better than it was. I had to leave over a decade of Evernote notes and needed a new place for them. This is almost perfect. I'll have to pay to transfer the photos but I like it enough to do it and the price is absolutely reasonable! Plus, you'll own it forever. It's not a membership. All in all, it does exactly what I need it to do. The UI is clean and simple. Easy to use and organize accordingly.",4,1,User-Friendly Design
Simply perfect.,5,1,Initial Impressions
Not opeining the app.. pls fix,2,1,App Crashes
"Cheap at a lot more. I have the Pro version. It may not have the things that Google thought of, but it has a menuing system, backup ability, journalling and a ton more. I can't and won't complain.",5,1,Backup and Recovery Improvements
Simply Brilliant ☺️,5,1,Initial Impressions
"mehh its ok. i would give it 5 stars except it has one major flaw. it doesn't autosave what you have written. so if your phone goes dead, it restarts, freezes and have to soft reset. you lose what you wrote before you posted you note to yoursel. kinda like sending yourself a text. you could basically text yourself and it would do the same thing. so back to one that auto saves for me.",3,1,Backup and Recovery Improvements
Just lovely.,5,1,Positive User Experience
glitches,2,1,App Crashes
"It is a great app for tracking the date and time of each note. I use it mostly for taking notes while watching a film. I would like to have a feature request where you can group multiple chats into one. That would help in decluttering all the chats in one giant page. Edit: Grouping mutliple notes has been added, but it does not apply to old notes, only new notes can be clubbed together into one. Still cant export my notes. The search feature does not work as intended. Still cant arrange not",2,1,Search and Organization Tools
"I didn't get to backup any of my notes before the newest update, had I know the new update would make the app keep crashing and make me have to reinstall it I would have backed them up much earlier. But no one really expects and update to make you HAVE to worry about it crashing usually... I had a lot of important notes that I lost, so now I just uninstalled it again and will not be using this app no more. An update shouldn't cause a crash.",1,1,App Crashes
No need to remember all things just note down here..,5,1,Ease of Use
superb app,5,1,Initial Impressions
Purchased the Premium. Best deal for Lifetime access. Really liked the concept of this note app. Recycle Bin & Online Backup are necessary feature of a note application (Request to the developer to add these two features asap),5,1,Backup and Recovery Improvements
"The new UI is really bad, please revert to the version before this.",3,1,User-Friendly Design
"the recent update has made the app lose its charm and beautiful interface. now it feels souless and minimal (negative) i really loved how the app felt homey and cosy now it feels so corporate 💀 i legit saved money to purchase the app and y'all ruined it. smh, this app was amazing",2,1,User-Friendly Design
"I love your app, makes me don't wanna talk to people anymore lmfao. EDIT: I CAN NOW SEND PICTURES WITHOUT SUBSCRIPTION????? HELL YEAH I LOVE YOU WHOEVER MADE THIS (even though I only talk to myself here LOOOL I always need a ""me time"" because I get exhausted talking to people in real life and needs to rant here when I don't wanna disturb others) THANK YOU",5,1,Therapeutic Note-Taking
I love this app.. Been using this for a year now. It's my notetaking go to everyday. I like the messaging style and its minimalism. Just keep it simple and easy to use. Thank you! 😁,5,1,Positive User Experience
Why are there no widgets?,4,1,Other
Please add reminders.,5,1,Reminders and Notifications
I use it everyday. 😀,5,1,Ease of Use
"Good ,👍🏻",5,1,Positive User Experience
please add google save,5,1,Other
I am trying to restore my backup from few days but it doesn't restore. I have note down the very important data of mine but when i need it doesn't help me. I had emailed you but i also not get any response from there.,1,1,Backup and Recovery Improvements
"Unfortunately, I can not add PDF files or docs! I would be glad to replace Telegram once you add these features!",1,1,File and Document Support
"This app has some serious problem with 'Backup and Restore' feature. Doesn't back icon pictures, images inside the chat etc. While taking backup it only saves a part of the actual contents present. Hope the developer resolves it. It's kinda purposeless without a proper backup feature. Rest everything is good.",4,1,Backup and Recovery Improvements
This is an excellent note-taking app with a messaging format. It is exactly what I was looking for. The app makes it super easy to create different folders and notes within each folder. Everything is organized and easy to find. Backing up your notes occasionally is essential.,5,1,Unique Note Organization
"These are my honest reviews/issues with this app and why I am uninstalling it: (1) When I save something, for suppose email id or some user id, I am not able to select the text and copy it. (2) To copy any text I have to select the message, click on edit, then copy it from there. (3) The app has a lock on it but the files inside the app don't have a separate lock. (4) can't find checklist option (basic necessity for a notes app) (5) pretty underwhelming for the high ratings given on this app.",2,1,Editing Features
Works amazing,5,1,Positive User Experience
"A fantastic offline upgrade of a feature in WhatsApp and Telegram, where you can send notes to yourself. I like that we can have separate threads for each note category, and it has the option to search for particular notes. I've been using this to keep track of individual projects and it works as it does. Kudos to the dev for making this!",5,1,Unique Note Organization
perfect,5,1,Positive User Experience
Just wow ❤️,5,1,Initial Impressions
"I love it every thing is perfect for me and I even bought it. I just wanted one feature if possible that is having folder system, so that I can have one folder where there will be similar kind of notes in it and same in other folder... Is it possible?",5,1,Search and Organization Tools
Update: Updated the app. Still cant use word search for the titles of notes. Devs doesnt relly use their own app apparently. They just update the compatibility to new phones. They dont improve the app the whatsoever. Very disappointed,1,1,Search and Organization Tools
You're gonna love it!!,5,1,Initial Impressions
"The best assistance application on an Android device. It can be used as a digital diary. A photo album, personal digital assistant, a voice recorder etc. Also it can serve as a shopping list and an app to log your assets locations. Other plus points are text size control and dp, and search function.",5,1,Positive User Experience
"A perfect app for writing journal ...and i prefer to add a feature like highlighting the chats and adding different themes Update-now a days my app won't open without internet,it always opens playstore automatically whenever I open the app that I need internet to open the app causing me reduce one star, the another thing I am pro user making me disappointed with this update Hope the developer fix this issue .-Update the issue has been fixed",5,1,App Crashes
"I use this every single day but would dearly love a simple folder addition. Create a few folders, file notes accordingly = simple recall and clutter free experience. Fingers crossed, thank you for listening.",5,1,Search and Organization Tools
Its awesome app i spend more time here then whatsapp only request is plz add edit option after copying notes bcz when u copy something in d chat it doesn't allow to edit it again or copy or share plz fix it .i love Ur appp its a request,5,1,Editing Features
Sweet! Tanuj is the best indie app developer out there! ♥️ Am a fan!,5,1,Developer Appreciation
"I love it!! Suggestion: when editing long notes, editor area should be able to expand more. It's too small right now",5,1,Editing Features
"It was working so well then today, it won't open. It prompts me to update even though there is no update available... it also says it has a bug.",3,1,App Crashes
"Big fan of the simplicity, im interested in seeing the progression of this app",5,1,User-Friendly Design
"Writing a new review to let the people know how 🔥this app is. It directly makes life easier homeboy. I thank you, developer, cause you're a real one. No ads even. Lit!",5,1,Positive User Experience
Such a neat and well-functioning app without ads... Very handy and useful... Very glad to have tried... Thank you so much for this app... ☺️ 👍,5,1,Positive User Experience
Please add option of adding pdf documents and contacts in notes.,5,1,File and Document Support
No Longer Opens after most recent update. Edit: After Jan. 5 update still won't open. Can't access notes.,1,1,App Crashes
"App is crashing and I had to reinstall it and lost all my notes, and app doesn't support automatic cloud backup or acsess making it very risky for important notes, so use cloud backup note apps or physical notebook",1,1,Backup and Recovery Improvements
"Very Good.., Almost Perfect Notepad.., you need just expand features...",4,1,Request for Enhancements
We just need a way to see those notes on pc.,5,1,File and Document Support
High price to get pro version. Can you reduce its price? Edit : I don’t even think this minimal note taking app can be 10$ in future. This update useful for development but you should take care for all users. It can be 0.99$ or 1.99$ at first then slightly go higher. Lastly we '❤️' this app.,4,1,Request for Enhancements
Great app i suggest to add a function reply to your own note and highlight something,5,1,Request for Enhancements
the open via fingerprint is broken : you can read what's behind the fingerprint popup. It lacks reply feature to continue on certain idea. Not very polished but works,3,1,User-Friendly Design
Camera not working .It doesn't save the photo after capture. Camera option is not working. can't select multiple photos from gallery,2,1,Other
it's a really good app. But can't we change the color of the message bubble? i want it to be pink:< I don't know if u can or u need to go pro but consider it making it free to costumize the color of message bubbles. HEHE!!,5,1,Request for Enhancements
Well I wrote myself a note so I could remember what to pick up at the grocery store now I can't get it out of there now I'm at the grocery store not sure what I was supposed to pick up,1,1,Search and Organization Tools
Intelligent and easy app that does what it is supposed to. Also chosen for sharing list with iPhone user,5,1,User-Friendly Design
Please put a seperate password for the app and not the password we use to unlock the phone,4,1,User-Friendly Design
Cannot edit some message. My app is pro,2,1,Editing Features
"Novel new way to take notes and all it offers freely and without ads, and active developer whose is listening to feed back and updating as needed. So why are you not using it?!!",5,1,Developer Appreciation
"I have s22 ultra android 13 and cannot open app after update, but thanks to developers thay fixed right when i posted this review! Thanks guys. I will recomend this app",5,1,App Crashes
I was convinced that it was the best app in its category until it suddenly crashed and months of notes I had exclusively on it just vanished.,1,1,Data Loss Anxiety
I lost all my notes today. App couldn't open. Important notes. Very important notes. All lost. Thanks.,1,1,Data Loss Anxiety
"Liked it before the last update. Crashes before it starts. Hope you guys fix this, awesome app regardless. Did the update - OUTSTANDIG !!! Thank you 🙏",5,1,App Crashes
I'm giving the 5 star for using the free version. Now I Purchased Pro to give it a try. I'll give an update after I use the app for some time.,5,1,Trial Usage
"Thanks. It would be good to be able to upload files, change the wallpaper, theme and mute vibration. I hate vibration.",3,1,Request for Enhancements
"After updating the app is not opening, keeps crashing. Please fix this issue asap. It is crashing again and again.",1,1,App Crashes
"INVASIVE PERMISSIONS ARE UNACCEPTABLE. FURTHERMORE, WHEN I TOOK THEM OUT, THE APP DID NOT FUNCTION‼️ I ALSO FEEL COMPELLED TO DEFEND THOSE IN THE REVIEWS THAT GOT DATA LOST WITHOUT WARNING, DUE TO THESE INCONSIDERATE & ILLEGAL ATTACKS ON PRIVACY & SOVERIEGNTY‼️BOB & ALICE DO NOT RECOMMEND THIS APP‼️",1,1,Data Loss Anxiety
"Actually perfect 😭😍 only wish I could customize themes of conversations more (like backgrounds, bubble colors etc)",5,1,Positive User Experience
"I switch on the password. But, the set up options is not coming up. Other than that the app works fine. By the way I use Samsung mobile (Android)",4,1,User-Friendly Design
"Hey, what is happening in the app? I can't open it, it keeps crashing. Will there be a backup if I uninstall and reinstall it?",1,1,App Crashes
Was great until now! Went to get my items that I need and the entire app glitched out causing me to lose everything and I cannot forgive for this very reason. I've tried to get it to work several times so now my day is completely ruined!,1,1,App Crashes
HOW TO DELETE NOTES ? (Edit : thanks for reply. Issue is solved. Rated it 5*),5,1,Editing Features
I lost my notes too after this app crash. Is there any way to retrieve it as my last backup made is only March 2023. It would be nice to have set the backup automatically.,2,1,Backup and Recovery Improvements
Thanks to the developer for such an amazing application.,5,1,Developer Appreciation
"I LOVE THIS APP! if Dev would ONLY add a Timed Alert Option for individual notes, then NOTHING MORE (except maybe update/polish up the design occasionally), it would be perfection and I'd happily pay like 5$ (once) for the app. Great idea, really good execution.",5,1,Reminders and Notifications
Suddenly not working please fix as it has a bug where can't open my personal notes and I would like 2 access them and it's not OK that I can't access my personal stuff and please fix this as it is not opening the app and my phone says there is a bug. Thanks,1,1,App Crashes
"5 out of 5 Simple and easy to use ! Just needed something to take every day random list , best part is the voice recorder! 5/5",5,1,Ease of Use
"Good idea but the poor coding/testing before release of a recent update (leading to every user losing notes unless they had made a backup they didn't know they needed to make) has caused me to go back to Google Keep. I appreciate the developer's efforts in creating something different and wish them well, I may call back when the app is more mature.",3,1,Backup and Recovery Improvements
"Great app for simplicity. I recommend this for anyone jotting down confidential notes and this app should be an open source and have an AMOLED dark mode too. However, the only issue had to do with the Backup and Restore feature that needs to be fixed.",5,1,Backup and Recovery Improvements
"very good, fast, and most of all I like is ad-free. hopefully there will be batch export to text. Thank you dev.",4,1,Developer Appreciation
Such an intuitive way to keep notes! The one feature I really wish it had was an in-built reminder system. Being able to set reminder notifications at specific times would really make this a 10/10.,5,1,Reminders and Notifications
